Countries,Infections,Deaths
United States,238455,1723
United States,72876,633
United States,45605,289
United States,239512,1733
United States,180246,1443
United States,196632,2034
United States,175841,2953
United States,237301,1969
United States,77116,635
United States,52220,396
United States,80525,599
United States,242228,2080
United States,177900,2279
United States,165411,3284
United States,232265,2430
United States,78105,793
United States,44911,336
United States,235211,2156
United States,142649,1928
United States,176319,2766
United States,156922,3461
United States,210579,2446
United States,71301,964
United States,43171,347
United States,179259,2286
United States,117044,2355
United States,136582,2846
United States,127559,3267
United States,176534,2484
United States,58973,790
United States,52241,549
United States,159749,2304
United States,112700,2561
United States,120936,2613
United States,111326,2798
United States,154598,2136
United States,46992,794
United States,43591,499
United States,145448,1960
United States,95360,1907
United States,112970,2631
United States,101447,2480
United States,131712,1834
United States,37694,423
United States,38902,468
United States,97479,1102
United States,111129,2353
United States,108839,3227
United States,86973,2143
United States,109833,1827
United States,39229,526
United States,31071,454
United States,100014,1744
United States,81272,2138
United States,91932,3203
United States,77906,1988
United States,96371,1897
United States,31825,540
United States,18561,244
United States,111110,1414
United States,69210,1618
United States,102364,2078
United States,75744,1843
United States,95117,1737
United States,33855,364
United States,32018,233
United States,111462,1250
United States,70948,1285
United States,85342,1967
United States,81723,1209
United States,96680,2123
United States,34603,461
United States,36302,187
United States,109024,1216
United States,79956,1487
United States,95703,1684
United States,56663,860
United States,144813,2491
United States,43497,557
United States,31210,190
United States,134810,1272
United States,87055,1340
United States,112681,1684
United States,110177,1327
United States,126907,1807
United States,44792,450
United States,39230,199
United States,145647,1238
United States,91279,1378
United States,111530,1752
United States,39053,468
United States,52694,368
United States,25993,311
United States,42495,226
United States,187716,1924
United States,117315,1528
United States,136956,2112
United States,139205,3907
United States,158617,1636
United States,65579,667
United States,54252,342
United States,179470,1351
United States,113217,1703
United States,149650,1822
United States,122436,1532
United States,160669,1837
United States,55828,595
United States,51306,327
United States,187071,1400
United States,114798,1522
United States,143531,2289
United States,141570,1275
United States,192731,1857
United States,77743,643
United States,87819,267
United States,242485,1568
United States,178533,1968
United States,240957,2140
United States,269860,3496
United States,233438,691
United States,72916,208
United States,195721,194
United States,508666,1888
United States,356061,2401
United States,498408,2315
United States,588290,1538
United States,489468,708
United States,166297,386
United States,303382,351
United States,1075422,1841
United States,805030,2308
United States,644035,2135
United States,814054,2001
United States,855316,2357
United States,385378,795
United States,475314,539
United States,1367651,1971
United States,768824,2426
United States,908781,2900
United States,839891,2310
United States,858982,2515
United States,393898,935
United States,467966,695
United States,661318,987
United States,1112909,2573
United States,998286,3936
United States,710679,2699
United States,822687,3209
United States,286479,923
United States,356102,673
United States,903044,2070
United States,554920,3081
United States,651620,4119
United States,488209,2426
United States,601338,3921
United States,169389,1114
United States,192802,362
United States,531179,2466
United States,414458,3675
United States,327038,3585
United States,253244,2276
United States,371066,4182
United States,104529,899
United States,80521,394
United States,339208,2926
United States,222906,2920
United States,188832,3443
United States,172067,3181
United States,210195,2604
United States,55352,804
United States,56932,441
United States,164053,2777
United States,115055,2595
United States,138174,3083
United States,101335,3223
United States,147827,2459
United States,33556,630
